-----------------------------------------------------
Inference for Bugs model at "C:/Work/Research/Github/JARAbeta//Chin_penguin/output1/jara.jags", fit using jags,
 2 chains, each with 1100 iterations (first 1000 discarded)
 n.sims = 200 iterations saved
               mu.vect  sd.vect      2.5%       25%       50%       75%     97.5%  Rhat n.eff
N.est[19,7]   2987.624  939.672  1696.125  2355.828  2816.654  3333.648  5793.367 1.017   200
N.est[20,7]   3043.080  875.794  1787.362  2446.879  2906.547  3479.046  5207.752 0.999   200
N.est[21,7]   3064.922  813.478  1816.311  2516.038  2989.506  3420.661  5033.007 1.001   200
N.est[22,7]   3095.318  392.891  2351.762  2839.542  3091.959  3327.612  3952.686 1.010   200
N.est[23,7]   3034.483  359.057  2398.158  2798.630  2999.770  3244.582  3734.519 1.003   200
N.est[24,7]   3185.933  780.180  1814.584  2719.709  3106.126  3630.742  4850.086 1.003   200
N.est[25,7]   3167.394  901.179  1793.213  2561.627  3041.343  3715.211  5126.456 1.007   200
N.est[26,7]   3171.774  865.121  1781.437  2561.217  3115.351  3654.526  5182.448 1.019   130
N.est[27,7]   3052.590  724.147  1859.710  2540.106  2947.296  3425.501  4724.155 1.043    47
N.est[28,7]   2959.224  405.047  2263.551  2683.982  2931.669  3209.178  3963.204 1.004   200
N.est[29,7]   2768.280  355.364  2155.672  2510.125  2739.061  3006.861  3593.692 1.019    70
N.est[30,7]   2666.832  358.093  2001.372  2412.592  2616.997  2865.038  3422.543 1.011   200
N.est[31,7]   2661.862  336.031  2091.996  2414.163  2635.447  2892.539  3364.919 1.010   120
N.est[32,7]   2753.645  375.719  2041.057  2517.560  2730.951  2979.746  3541.054 1.003   200
N.est[33,7]   3093.207  369.130  2478.875  2845.978  3055.031  3334.902  3858.721 0.997   200
N.est[34,7]   3266.658  405.108  2588.813  2989.477  3228.391  3536.909  4038.150 1.029   200
N.est[35,7]   3208.230  415.189  2437.892  2913.044  3211.043  3465.247  4044.532 1.024   200
N.est[36,7]   3225.943  900.170  1979.976  2550.901  3098.098  3620.755  5538.612 1.015    93
N.est[37,7]   3208.919 1239.373  1669.948  2373.038  2954.406  3788.401  6308.425 1.029   100
N.est[38,7]   3203.488 1593.985  1288.144  2124.723  2872.115  3887.753  7034.666 1.060    38
N.est[39,7]   3250.747 1835.605  1037.253  2093.214  2818.878  3972.465  6946.211 1.045    76
N.est[40,7]   3211.645 1868.325   984.389  2042.901  2764.735  3945.384  7025.469 1.046    74
N.est[1,8]      38.143   17.283    14.881    25.987    34.341    48.596    82.078 0.998   200
N.est[2,8]      37.579   18.288    14.354    24.360    34.800    45.106    89.904 0.997   200
N.est[3,8]      36.239   17.593    14.606    23.721    31.936    44.606    82.027 1.001   200
N.est[4,8]      34.257   15.985    14.114    22.113    31.903    41.650    77.328 1.007   130
N.est[5,8]      31.638   13.930    13.752    20.880    29.110    38.422    64.733 1.015    89
N.est[6,8]      31.326   14.079    13.091    21.418    28.713    38.691    63.932 1.005   170
N.est[7,8]      30.325   12.734    12.439    21.409    28.074    37.607    57.876 1.009   110
