"assessment","scenario","name","year","obs","obs.err","hat","lci","uci","lpp","upp","residual"
"Afr_penguin","s1","Dyer.Island",2017,951,0.110137347445846,975.88865348115,790.806368117009,1208.82313133574,718.571067509464,1325.96055398207,-0.0258344328115632
"Afr_penguin","s1","St.Croix.Island",1979,13821,0.110137347445846,13964.3125886375,11329.1274026208,17262.6290245486,10292.8758847166,19027.0852249637,-0.0103157996924281
"Afr_penguin","s1","St.Croix.Island",1980,14850,0.110137347445846,14834.8658424214,12004.4651160846,18349.7220296687,10936.0683357662,20101.5880084471,0.00101965486185129
"Afr_penguin","s1","St.Croix.Island",1985,19448,0.110137347445846,19378.3558893028,15580.9234870787,24100.7609785008,14068.3862283102,26561.5766525912,0.00358746958322165
"Afr_penguin","s1","St.Croix.Island",1993,19478,0.110137347445846,19343.9194282551,15592.0757321792,24096.5942847695,14167.2800880943,26385.2358551725,0.00690749488124887
"Afr_penguin","s1","St.Croix.Island",1999,14005,0.110137347445846,14193.9461881391,11510.2981722797,17539.4314861966,10457.4936692257,19271.1210168913,-0.0134011402139578
"Afr_penguin","s1","St.Croix.Island",2000,15211,0.110137347445846,15221.6457001717,12426.3377494589,18557.2614263149,11255.7452266227,20480.6097322213,-0.000699623733725119
"Afr_penguin","s1","St.Croix.Island",2001,16950,0.110137347445846,16288.4529732548,13197.518822425,19857.7894406585,12030.7469799918,22066.8606301902,0.0398113836010108
"Afr_penguin","s1","St.Croix.Island",2003,9116,0.110137347445846,9390.47411289756,7649.62876185393,11555.3103281923,6892.01939746093,12780.2133401763,-0.0296646718184892
"Afr_penguin","s1","St.Croix.Island",2004,10088,0.110137347445846,9334.81667465976,7570.45793780636,11429.4372606305,6883.53594818478,12450.245735536,0.0775954603556368
"Afr_penguin","s1","St.Croix.Island",2005,4153,0.110137347445846,4736.39719598331,3872.65551244771,5852.36612542085,3514.34024203858,6458.43269524906,-0.131445796811539
"Afr_penguin","s1","St.Croix.Island",2006,8077,0.110137347445846,7312.78639740662,5924.90102159414,8933.19625668064,5356.39856515631,9804.47660496479,0.0993961392118159
"Afr_penguin","s1","St.Croix.Island",2007,4363,0.110137347445846,4812.97075366233,3955.57748621457,5961.19828868183,3593.60659167474,6550.87748090101,-0.0981546196312912
"Afr_penguin","s1","St.Croix.Island",2008,7739,0.110137347445846,7313.14696654696,5968.17986250378,8967.50703557735,5466.39852350664,9825.34407855377,0.0565987975862434
"Afr_penguin","s1","St.Croix.Island",2009,6824,0.110137347445846,6944.72347953818,5646.53236795034,8554.28028137697,5103.73006339923,9382.45229089666,-0.0175363494630201
"Afr_penguin","s1","St.Croix.Island",2011,8500,0.110137347445846,8246.37430571095,6695.52267305954,10079.7284043923,6044.04720742,11150.1526068209,0.0302925378441259
"Afr_penguin","s1","St.Croix.Island",2012,6625,0.110137347445846,6860.0503360912,5589.00350462798,8407.48422124052,5077.42438408852,9292.71236317045,-0.0348644074612103
